tkt_id,dt_of_issue,dest_id_nbr,orig_arpt_cd,dest_arpt_cd,depart_dt,depart_tm,arrival_dt,arrival_tm,point_of_orig_arpt_cd,prmry_cabin_class_cd,route_brkout,carr_brkout,class_of_svc_brkout,outbound_ind,length_of_stay_days,prmry_carr_cd,avg_fare_amt,avg_doc_amt,newline
1312813946700279882,2011-09-29,1,BOM,RPR,2011-10-14,10:25:00,2011-10-14,10:55:00,BOM,AO,BOM/RPR,AI,E,Y,0,AI , 50.2165, 102.6686,"
"
1124900471700222573,2011-09-02,3,VCE,ICN,2011-09-08,13:15:00,2011-09-09,10:30:00,ICN,AO,VCE/FRA/ICN,LH/LH,U/U,N,0,LH , 432.9780, 667.1120,"
"
1127100555601139227,2011-09-23,1,SZX,WUH,2011-09-25,10:45:00,2011-09-25,12:30:00,SZX,Y ,SZX/WUH,CA,Y,Y,0,CA , 132.9535, 160.7540,"
"
1126200532700838154,2011-09-13,1,HAK,CAN,2011-09-15,07:15:00,2011-09-15,08:15:00,HAK,C ,HAK/CAN,HU,Z,Y,0,HU , 36.3205, 55.9984,"
"
1126200532700465573,2011-09-13,1,CAN,HAK,2011-09-14,21:15:00,2011-09-14,22:25:00,CAN,AO,CAN/HAK,ZH,E,Y,0,ZH , 40.6818, 60.6894,"
"
1126200532700723735,2011-09-13,1,HAK,CAN,2011-09-14,20:30:00,2011-09-14,21:35:00,HAK,DY,HAK/CAN,CZ,X,Y,0,CZ , 55.4249, 75.3152,"
"
1127100554800148363,2011-09-21,1,MNL,YEG,2011-10-07,17:50:00,2011-10-07,21:18:00,MNL,Y ,MNL/YVR/YEG,PR/AC,W/W,Y,0,PR , 541.4106, 775.9609,"
"
1126200532700705423,2011-09-13,1,CAN,HAK,2011-09-13,15:05:00,2011-09-13,16:15:00,CAN,Y ,CAN/HAK,CZ,Y,Y,0,CZ , 94.9806, 113.1194,"
"
1127100558400959236,2011-09-27,1,CGD,CAN,2011-10-06,20:00:00,2011-10-06,21:30:00,CGD,Y ,CGD/CAN,CZ,Y,Y,0,CZ , 100.3330, 112.5892,"
"
1127100555601108639,2011-09-23,1,WUH,SZX,2011-10-01,08:00:00,2011-10-01,09:45:00,WUH,Y ,WUH/SZX,CA,Y,Y,0,CA , 135.4949, 163.0864,"
"
1234012782401428827,2011-09-16,2,YUL,IST,2011-09-22,20:05:00,2011-09-23,14:55:00,IST,DY,YUL/MUC/IST,LH/LH,L/L,N,0,LH , 401.4809, 634.2988,"
"
1234012782401428827,2011-09-16,1,IST,YUL,2011-09-17,05:45:00,2011-09-17,11:35:00,IST,Y ,IST/FRA/YUL,LH/LH,M/M,N,5,LH , 393.7162, 625.3352,"
"
1126200532700845536,2011-09-13,1,CAN,HAK,2011-09-14,10:00:00,2011-09-14,11:10:00,CAN,Y ,CAN/HAK,HU,Y,Y,0,HU , 94.9806, 113.1194,"
"
1234012782400997150,2011-09-23,2,BHX,LOS,2012-04-20,07:00:00,2012-04-20,17:55:00,LOS,DY,BHX/FRA/LOS,LH/LH,E/E,N,0,LH , 202.4803, 492.8506,"
"
1234012782400997150,2011-09-23,1,LOS,BHX,2011-09-24,22:05:00,2011-09-25,09:05:00,LOS,DY,LOS/FRA/BHX,LH/LH,V/V,N,208,LH , 194.7212, 495.5822,"
"
1203401342700098414,2011-09-06,3,HEL,DEL,2011-09-18,06:35:00,2011-09-18,07:05:00,DEL,DY,HEL/AMS/DEL,KL/KL,L/N,N,0,KL , 305.5860, 517.1638,"
"
1127100554800182234,2011-09-21,5,JNB,VFA,2012-01-10,09:50:00,2012-01-10,11:35:00,SYD,DY,JNB/VFA,SA,H,N,2,SA , 115.6418, 199.5735,"
"
1127100554800182234,2011-09-21,6,VFA,JNB,2012-01-12,12:25:00,2012-01-12,14:10:00,SYD,DY,VFA/JNB,SA,V,N,2,SA , 135.7802, 244.8498,"
"
1234012782401844598,2011-09-07,1,HAJ,MUC,2011-09-15,06:40:00,2011-09-15,07:50:00,HAJ,DY,HAJ/MUC,LH,Q,Y,0,LH , 135.7628, 228.4092,"
"
1127700584400386892,2011-09-30,2,DXB,CPT,2011-10-17,07:50:00,2011-10-17,15:25:00,QYG,DY,DXB/CPT,EK,B,N,0,EK , 383.3999, 423.8808,"
"
1211703970800155487,2011-09-14,1,AMS,CPT,2011-10-03,09:05:00,,,AMS,DY,AMS/CPT,KL,T,N,0,KL , 424.0367, 644.0801,"
"
1204101415400205430,2011-09-14,1,DEL,MCO,2011-11-07,04:20:00,2011-11-07,22:45:00,DEL,DY,DEL/AUH/ORD/MCO,EY/EY/EY,L/L/L,Y,0,EY , 473.3472, 713.1591,"
"
