cabin,currency,destination,edate,etime,legs,price,rt,sdate,source,stime,tax,
E,USD,IAH,20131126,1931,2,523.08,1,20131126,EWR,933,75.66,
E,USD,IAH,20131127,16,0,523.08,1,20131126,EWR,2127,75.66,
E,USD,IAH,20131126,808,0,523.08,1,20131126,EWR,515,75.66,
E,USD,IAH,20131126,1610,1,491.46,1,20131126,EWR,933,78.47,
E,USD,IAH,20131126,1931,2,495.36,1,20131126,EWR,1229,82.37,
E,USD,IAH,20131126,1931,2,495.36,1,20131126,EWR,933,82.37,
E,USD,IAH,20131126,1114,1,506.60,1,20131126,EWR,630,66.61,
E,USD,IAH,20131126,930,1,512.10,1,20131126,EWR,500,72.11,
E,USD,IAH,20131126,930,1,512.10,1,20131126,EWR,500,72.11,
E,USD,IAH,20131126,1931,2,523.08,1,20131126,EWR,1229,75.66,
E,USD,IAH,20131126,1931,2,523.08,1,20131126,EWR,1229,75.66,
E,USD,IAH,20131126,1931,2,523.08,1,20131126,EWR,1229,75.66,
E,USD,IAH,20131126,1610,1,512.18,1,20131126,EWR,933,64.76,
E,USD,IAH,20131126,1219,1,513.60,1,20131126,EWR,655,73.61,
E,USD,IAH,20131126,808,0,523.08,1,20131126,EWR,515,75.66,
E,USD,IAH,20131126,1332,0,523.08,1,20131126,EWR,1029,75.66,
E,USD,IAH,20131126,1931,2,523.08,1,20131126,EWR,933,75.66,
E,USD,IAH,20131126,1337,1,506.48,1,20131126,EWR,719,79.52,
E,USD,IAH,20131126,1610,1,512.18,1,20131126,EWR,933,64.76,
E,USD,IAH,20131126,2028,0,523.08,1,20131126,EWR,1725,75.66,
E,USD,IAH,20131126,1209,0,523.08,1,20131126,EWR,853,75.66,
E,USD,IAH,20131126,1337,1,527.20,1,20131126,EWR,719,65.81,
E,USD,IAH,20131126,1915,0,538.30,1,20131126,EWR,1630,56.45,
E,USD,IAH,20131127,16,0,538.30,1,20131126,EWR,2127,56.45,
E,USD,IAH,20131126,1915,0,538.30,1,20131126,EWR,1630,56.45,
E,USD,IAH,20131126,808,0,538.30,1,20131126,EWR,515,56.45,
E,USD,IAH,20131126,1042,0,538.30,1,20131126,EWR,745,56.45,
E,USD,IAH,20131126,808,0,538.30,1,20131126,EWR,515,56.45,
E,USD,IAH,20131126,1453,1,527.20,1,20131126,EWR,719,65.81,
E,USD,IAH,20131127,16,0,528.18,1,20131126,EWR,2127,65.87,
E,USD,IAH,20131127,16,0,538.30,1,20131126,EWR,2127,56.45,
E,USD,IAH,20131126,1915,0,538.30,1,20131126,EWR,1630,56.45,
E,USD,IAH,20131126,1515,0,528.18,1,20131126,EWR,1215,65.87,
E,USD,IAH,20131126,2028,0,528.18,1,20131126,EWR,1725,65.87,
E,USD,IAH,20131126,1337,1,527.20,1,20131126,EWR,719,65.81,
